#MATRIX_SIZE : 2048
#START : dimanche 13 mai 2012, 17:03:09 (UTC+0200)
#num_iteration	ydim_gpu	speedup
set zlabel "accélération"
37	1024	5.4693818
37	1088	5.1506254
37	1152	5.9799224
37	1216	5.5664
37	1280	5.1762426
37	1344	5.3100516
37	1408	5.091482
37	1472	4.0581542
37	1536	4.5742974
37	1600	4.5073164
37	1664	4.3012714
37	1728	3.4331996
37	1792	3.910042
37	1856	3.8315992
37	1920	3.7927248
37	1984	3.514703
37	2048	3.6225202
38	0	4.8877214
38	64	4.7764398
38	128	5.1188304
38	192	3.861284
38	256	5.7890918
38	320	6.2501084
38	384	6.4271316
38	448	6.8788316
38	512	7.1763022
38	576	7.3692396
38	640	7.7390908
38	704	7.503897
38	768	7.649189
38	832	7.3609872
38	896	7.1930466
38	960	6.7352604
38	1024	6.4457572
38	1088	5.9373804
38	1152	5.7691168
38	1216	5.3687194
38	1280	5.265194
38	1344	5.0452174
38	1408	4.688229
38	1472	4.5636872
38	1536	4.2908386
38	1600	4.2100902
38	1664	4.1116538
38	1728	3.9806948
38	1792	3.8477078
38	1856	3.0554028
38	1920	3.554091
38	1984	3.4454792
38	2048	3.4855254
39	0	4.3020538
39	64	5.043921
39	128	5.5673022
39	192	5.6320712
39	256	5.6767182
39	320	6.4328056
39	384	6.441287
39	448	7.0573946
39	512	7.2629922
39	576	6.7444516
39	640	7.886079
39	704	8.735784
39	768	8.378422
39	832	7.3388726
39	896	7.0309622
39	960	7.0217686
39	1024	7.006095
39	1088	6.4177614
39	1152	5.5520736
39	1216	5.6312934
39	1280	5.2755946
39	1344	5.1369968
39	1408	5.054232
39	1472	4.6792838
39	1536	4.5983548
39	1600	4.3812328
39	1664	4.3163296
39	1728	3.9948956
39	1792	3.1791054
39	1856	3.7730264
39	1920	3.6958138
39	1984	2.5401852
39	2048	3.0534796
40	0	4.5433868
40	64	4.0208684
40	128	4.9224212
40	192	5.4201232
40	256	5.8253322
40	320	6.1590502
40	384	6.3183542
40	448	6.823335
40	512	7.140682
40	576	7.2623376
40	640	7.7308284
40	704	8.2522446
40	768	6.8425822
40	832	7.5335582
40	896	6.9973214
40	960	6.7429146
40	1024	5.5205096
40	1088	6.0022116
40	1152	4.7412426
40	1216	5.3290122
40	1280	5.2332724
40	1344	4.9590732
40	1408	4.748162
40	1472	4.5484904
40	1536	4.3606852
40	1600	4.1554906
40	1664	4.1032186
40	1728	3.8205196
